Root word,Word,Phonetic,Type,Vietnamese meaning
Happen or appear unexpectedly,Happen or appear unexpectedly,,phr.v,Xảy ra một cách bất ngờ
COME UP WITH,Come up with,,phr.v,Nảy ra ý tưởng
COME INTO,Come into,,phr.v,Thừa kế
COME UP,Come up,,phr.v,Xảy ra
COME OUT,Come out,,phr.v,Lộ ra; ló ra; tung ra; phát hành
COME ON,Come on,,phr.v,Thôi nào; tiếp tục nào
COME OFF,Come off,,phr.v,Thành công
COME ACROSS,Come across,,phr.v,Tình cờ gặp
COME IN,Come in,,phr.v,Bước vào
COME IN FOR,Come in for,,phr.v,Chuốc lấy; nhận lấy
COME AROUND,Come around,,phr.v,Tỉnh lại
COME UP TO,Come up to,,phr.v,Đạt tới
DIP INTO,Dip into,,phr.v,Đọc lướt
DIE OUT,Die out,,phr.v,Tuyệt chủng
DIE OF,Die of,,phr.v,Chết vì bệnh gì
DRESS UP,Dress up,,phr.v,Cải trang; đóng giả
DROP OUT OF,Drop out of,,phr.v,Bỏ cuộc
DROP IN ON,Drop in on,,phr.v,Tạt qua; ghé qua
Pay a short visit,Pay a short visit,,phr.v,Tạt qua; ghé qua
FALL OVER,Fall over,,phr.v,Đổ sụp xuống; ngã; phá sản
FALL FOR,Fall for,,phr.v,Mê tít; yêu ai
FALL BEHIND,Fall behind,,phr.v,Tụt lại; chậm lại
FALL BACK ON,Fall back on,,phr.v,Phải cần tới; phải dùng tới
FALL OUT WITH,Fall out with,,phr.v,Cãi cọ với
FILL IN,Fill in,,phr.v,Điền vào mẫu đơn
FILL UP,Fill up,,phr.v,Đổ đầy; làm đầy
FILL OUT,Fill out,,phr.v,Mập ra; béo ra
GROW UP,Grow up,,phr.v,Lớn lên
JOT DOWN,Jot down,,phr.v,Ghi tóm tắt
Note down,Note down,,phr.v,Ghi tóm tắt
GO THROUGH,Go through,,phr.v,Trải qua
GO AHEAD,Go ahead,,phr.v,Tiến hành
GO ON WITH,Go on with st,,phr.v,Tiếp tục với cái gì
Continue with,Continue with st,,phr.v,Tiếp tục với cái gì
GO OUT,Go out,,phr.v,Mất điện; ra ngoài; đi chơi
GO ON,Go on,,phr.v,Tiếp tục
Continue,Continue,,phr.v,Tiếp tục
GO AWAY,Go away,,phr.v,Đi xa; đi đi; cút đi
GO BACK,Go back,,phr.v,Quay lại
GO BACK ON,Go back on,,phr.v,Thất hứa
GO BEYOND,Go beyond,,phr.v,Vượt quá
GO OFF,Go off,,phr.v,Đổ chuông; nổ tung; thiu thối; mất hứng
GO OVER,Go over,,phr.v,Xem lại; ôn lại
GO BY,Go by,,phr.v,Trôi qua; tuột mất
GO UP,Go up,,phr.v,Tăng lên
GO DOWN,Go down,,phr.v,Giảm xuống
GO DOWN WITH,Go down with,,phr.v,Mắc bệnh
GO IN FOR,Go in for,,phr.v,Thích thú; tham gia
GO INTO,Go into,,phr.v,Điều tra; xem xét
GET AROUND,Get around,,phr.v,Đi lại
TRAVEL,Travel,,phr.v,Đi lại
GET OVER,Get over,,phr.v,Vượt qua cú sốc/bệnh tật
Recover from,Recover from,,phr.v,Vượt qua cú sốc/bệnh tật
GET THROUGH,Get through,,phr.v,Vượt qua kì thi; hoàn thành
GET INTO,Get into,,phr.v,Quan tâm; hứng thú với cái gì
GET BY,Get by,,phr.v,Xoay sở để sống qua khó khăn
GET OFF,Get off,,phr.v,Xuống xe/tàu/máy bay
GET ON,Get on,,phr.v,Lên xe/tàu/máy bay
GIVE UP,Give up,,phr.v,Từ bỏ
STOP,Stop,,phr.v,Từ bỏ
Quit,Quit,,phr.v,Từ bỏ
GIVE OFF,Give off,,phr.v,Tỏa ra; nhả ra; thải ra
GIVE IN,Give in,,phr.v,Nhân nhượng
GIVE OUT,Give out,,phr.v,Cạn kiệt
GIVE AWAY,Give away,,phr.v,Tiết lộ; phân phát
HOLD UP,Hold up,,phr.v,Đình trệ; trì hoãn
Delay,Delay,,phr.v,Đình trệ; trì hoãn
HOLD BACK,Hold back,,phr.v,Ngăn lại
HOLD ON,Hold on,,phr.v,Chờ; giữ chắc; cầm
HOLD OVER,Hold over,,phr.v,Hoãn
HURRY UP,Hurry up,,phr.v,Nhanh lên
HAND OUT,Hand out,,phr.v,Phân phát
HAND IN,Hand in,,phr.v,Nộp
PACE WITH,Pace with,,phr.v,Theo kịp; đuổi kịp
KEEP UP WITH,Keep up with,,phr.v,Theo kịp; đuổi kịp
Catch up with,Catch up with,,phr.v,Theo kịp; đuổi kịp
KEEP ON,Keep on,,phr.v,Tiếp tục
KEEP AWAY,Keep away,,phr.v,Tránh xa
KEEP IN WITH,Keep in with,,phr.v,Duy trì mối quan hệ tốt đẹp với ai
LOOK UP,Look up,,phr.v,Tra cứu
LOOK AFTER,Look after,,phr.v,Chăm sóc
Take care of,Take care of,,phr.v,Chăm sóc
LOOK AROUND,Look around,,phr.v,Ngó nghiêng; thăm thú
LOOK DOWN ON,Look down on,,phr.v,Coi thường
LOOK UP TO,Look up to,,phr.v,Kính trọng
LOOK AT,Look at,,phr.v,Ngắm nhìn
LOOK FOR,Look for,,phr.v,Tìm kiếm
LOOK FORWARD TO,Look forward to,,phr.v,Mong chờ
LOOK INTO,Look into,,phr.v,Điều tra; xem xét
LOOK OUT,Look out (for),,phr.v,Coi chừng; trông chừng
LOOK OVER,Look over,,phr.v,Xem qua
LIE DOWN,Lie down,,phr.v,Nằm nghỉ
LAY DOWN,Lay down,,phr.v,Để ra
MULL OVER,Mull over,,phr.v,Suy nghĩ kĩ
MAKE UP FOR,Make up for,,phr.v,Bù đắp cho
MAKE UP,Make up,,phr.v,Trang điểm; bịa đặt; dựng chuyện; quyết định; làm hòa; chiếm (tỉ lệ; %)
BE MADE UP OF,Be made up of,,phr.v,Được tạo nên bởi
MAKE AWAY WITH,Make away with,,phr.v,Cuỗm đi
MAKE FOR,Make for,,phr.v,Tạo nên bởi; tiến về hướng
MAKE OUT,Make out,,phr.v,Nhìn; nhận ra; hiểu
PICK UP,Pick up,,phr.v,Nhặt; đón
POINT AT,Point at,,phr.v,Chỉ vào
PRAY FOR,Pray for,,phr.v,Cầu nguyện
PASS AWAY,Pass away,,phr.v,Qua đời/chết
Die,Die,,v,Qua đời/chết
PASS DOWN,Pass down,,phr.v,Lưu truyền; truyền lại
PASS OVER,Pass over,,phr.v,Lờ đi; né tránh
PUT UP WITH,Put up with,,phr.v,Chịu đựng
Tolerate,Tolerate,,phr.v,Chịu đựng
PUT ACROSS,Put across,,phr.v,Trình bày; giải thích
PUT ON,Put on,,phr.v,Mặc; đội; biểu diễn
PUT OFF,Put off,,phr.v,Trì hoãn; khiến cho ai không còn thích nữa
PUT ASIDE,Put aside,,phr.v,Để dành
PUT AWAY,Put away,,phr.v,Dọn đi; cất đi; để dành
PUT BACK,Put back,,phr.v,Trả lại (đưa về đúng vị trí)
PUT THROUGH,Put through,,phr.v,Kết nối điện thoại
PUT UP,Put up,,phr.v,Dựng lên
PUT SB UP,Put sb up,,phr.v,Cho ai đó ở nhờ
PUT OUT,Put out,,phr.v,Dập tắt
PULL DOWN,Pull down,,phr.v,Ủi đổ; phá bỏ
RESULT IN,Result in,,phr.v,Dẫn đến
RUN ON,Run on st,,phr.v,Chạy bằng cái gì
RUN OFF,Run off,,phr.v,Bỏ đi; rửa trôi
RUN OUT OF,Run out of st,,phr.v,Hết sạch; hết nhẵn cái gì
RUN OUT,Run out,,phr.v,Cạn kiệt
SLOW DOWN,Slow down,,phr.v,Làm giảm
SPEED UP,Speed up,,phr.v,Tăng tốc
SETTLE DOWN,Settle down,,phr.v,Ổn định; định cư
START UP,Start up,,phr.v,Khởi nghiệp
SAVE UP,Save up,,phr.v,Tiết kiệm
SET OUT,Set out,,phr.v,Bắt đầu thực hiện một kế hoạch/hành động
SET UP,Set up,,phr.v,Thành lập
SET OFF,Set off,,phr.v,Khởi hành
STAND IN FOR,Stand in for sb,,phr.v,Làm thay cho ai
STAND UP,Stand up,,phr.v,Đứng lên
STAND FOR,Stand for,,phr.v,Viết tắt; tượng trưng cho
STAND OUT,Stand out,,phr.v,Nổi bật
STAND UP FOR,Stand up for,,phr.v,Ủng hộ
PONDER ON,Ponder on,,phr.v,Suy nghĩ về; cân nhắc về; trầm tư
Upon,Upon,,phr.v,Suy nghĩ về; cân nhắc về; trầm tư
Over,Over,,phr.v,Suy nghĩ về; cân nhắc về; trầm tư
SHOW OFF,Show off,,phr.v,Khoe khoang
SHOW UP,Show up,,phr.v,Đến
TURN UP,Turn up,,phr.v,Đến
Arrive,Arrive,,phr.v,Đến
STAY UP,Stay up,,phr.v,Thức
SPREAD OVER,Spread over,,phr.v,Kéo dài
THINK BACK ON,Think back on,,phr.v,Hồi tưởng lại; nhớ lại
Recall,Recall,,phr.v,Hồi tưởng lại; nhớ lại
TALK BACK TO,Talk back to sb,,phr.v,Cãi lại; nói lại
TAKE AFTER,Take after,,phr.v,Giống
TAKE OFF,Take off,,phr.v,Cởi; cất cánh; thành công
TAKE IN,Take in,,phr.v,Hấp thụ; hít vào; hiểu
TAKE OUT,Take out,,phr.v,Nhổ; đổ
TAKE AWAY,Take away,,phr.v,Mang đi; kéo theo
TAKE ON,Take on,,phr.v,Đảm nhiệm; thuê mướn
TAKE OVER,Take over,,phr.v,Tiếp quản; chiếm đoạt
TAKE UP,Take up,,phr.v,Bắt đầu một thói quen/sở thích
TURN ON,Turn on,,phr.v,Bật
TURN OFF,Turn off,,phr.v,Tắt
Arrive,Arrive,,v,Đến
TURN UP,Turn up,,phr.v,Đến
SHOW UP,Show up,,phr.v,Đến
TURN INTO,Turn into,,phr.v,Biến thành
TURN OUT,Turn out,,phr.v,Hóa ra
TURN DOWN,Turn down,,phr.v,Từ chối; vặn nhỏ
TRY OUT,Try out,,phr.v,Kiểm tra
Test,Test,,v,Kiểm tra
TRY ON,Try on,,phr.v,Thử đồ
THROW AWAY,Throw away,,phr.v,Vứt đi
WIPE OUT,Wipe out,,phr.v,Xóa sổ
WAKE UP,Wake up,,phr.v,Thức giấc
WIND DOWN,Wind down,,phr.v,Thư giãn
Relax,Relax,,phr.v,Thư giãn
WAIT FOR,Wait for sb,,phr.v,Đợi ai đó
WAIT FOR,Wait for st,,phr.v,Đợi cái gì
WASH AWAY,Wash away,,phr.v,Cuốn trôi
WASH UP,Wash up,,phr.v,Giặt; rửa
